============================================
Creation du log: 09/12/2012 10:48
============================================


09/12/2012 10:48|- >> Warning : FwkErrorHandler 2 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
09/12/2012 10:48|- >> UNKNOWN : FwkErrorHandler 0 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
09/12/2012 11:06 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "PrivateController" ne possède pas de méthode qui a pour nom testController in file C:\wamp\www\AstridV1\lib\Core\ControllerManager.php on line 45
09/12/2012 11:12 | 13 mb | Back Office | - >> Warning : FwkErrorHandler 2 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
09/12/2012 11:12 | 13 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
09/12/2012 11:13 | 13 mb | Back Office | - >> Warning : FwkErrorHandler 2 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
09/12/2012 11:13 | 13 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
09/12/2012 11:19 | 10 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 42S22 - SQLSTATE[42S22]: Column not found: 1054 Unknown column 't0.ts_token' in 'field list' in file C:\wamp\www\AstridV1\lib\Doctrine\Doctrine\DBAL\Connection.php on line 628
09/12/2012 11:20 | 10 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 42S22 - SQLSTATE[42S22]: Column not found: 1054 Unknown column 't0.ts_token' in 'field list' in file C:\wamp\www\AstridV1\lib\Doctrine\Doctrine\DBAL\Connection.php on line 628
09/12/2012 11:22 | 10.75 mb | Front Office | - >> UNKNOWN : FwkErrorHandler 23000 - SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'ts_token' cannot be null in file C:\wamp\www\AstridV1\lib\Doctrine\Doctrine\DBAL\Statement.php on line 131
09/12/2012 11:22 | 10 mb | Front Office | - >> Warning : FwkErrorHandler 2 - require(../../lib/Doctrine\Doctrine\ORM\Tools\ToolsExceptionHandler.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Doctrine\Doctrine\Common\ClassLoader.php on line 163
09/12/2012 11:32 | 13 mb | Back Office | - >> Warning : FwkErrorHandler 2 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
09/12/2012 11:32 | 13 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in file C:\wamp\www\AstridV1\lib\SwiftMailer\lib\classes\Swift\Transport\SimpleMailInvoker.php on line 46
