02/01/2013 09:20 | 9 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 42S22 - SQLSTATE[42S22]: Column not found: 1054 Unknown column 't0.avatar' in 'field list' in file C:\wamp\www\AstridV1\lib\Doctrine\Doctrine\DBAL\Connection.php on line 628
02/01/2013 09:40 | 9 mb | Back Office | - >> Notice : FwkErrorHandler 8 - Undefined index: admin in file C:\wamp\www\AstridV1\gestion\controllers\DefaultController.php on line 34
02/01/2013 09:40 | 9 mb | Back Office | - >> UNKNOWN : FwkErrorHandler 0 - Undefined index: admin in file C:\wamp\www\AstridV1\gestion\controllers\DefaultController.php on line 34
02/01/2013 09:55 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 09:58 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 09:58 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:07 | 8 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:09 | 8 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:09 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:20 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:21 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:21 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:25 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../lib/Resources\Fwk\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:29 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:29 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:29 | 8 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:29 | 8 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:29 | 7.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Annonce does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:29 | 7.5 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Annonce does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:29 | 8.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:31 | 8.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:33 | 8.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:33 | 8.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Admin.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:33 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:33 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:34 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:34 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:34 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:34 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:34 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:34 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:34 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
