04/01/2013 11:22 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "PrivateController" ne possède pas de méthode qui a pour nom ticketDetailsController in file C:\wamp\www\AstridV1\lib\Resources\Core\ControllerManager.php on line 53
04/01/2013 11:31 | 10.5 mb | Back Office | Florian M. >> Notice : FwkErrorHandler 8 - Undefined index: idAdmin in file C:\wamp\www\AstridV1\gestion\controllers\DefaultController.php on line 154
04/01/2013 11:31 | 10.75 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Undefined index: idAdmin in file C:\wamp\www\AstridV1\gestion\controllers\DefaultController.php on line 154
04/01/2013 11:33 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "DefaultController" ne possède pas de méthode qui a pour nom dashboardController in file C:\wamp\www\AstridV1\lib\Resources\Core\ControllerManager.php on line 53
04/01/2013 14:18 | 14.5 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant GET_METHOD in file C:\wamp\www\AstridV1\lib\Resources\Twig\Environment.php(327) : eval()'d code on line 20
04/01/2013 14:18 | 14.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - An exception has been thrown during the rendering of a template ("constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant GET_METHOD") in "views/ticket-details.html.twig" at line 106. in file C:\wamp\www\AstridV1\lib\Resources\Twig\Template.php on line 269
04/01/2013 14:48 | 14.25 mb | Back Office | Florian M. >> Notice : FwkErrorHandler 8 - A non well formed numeric value encountered in file C:\wamp\www\AstridV1\lib\Resources\Utils\DateUtils.php on line 213
04/01/2013 14:48 | 14.25 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - An exception has been thrown during the rendering of a template ("A non well formed numeric value encountered") in "views/ticket-details.html.twig" at line 35. in file C:\wamp\www\AstridV1\lib\Resources\Twig\Template.php on line 269
04/01/2013 14:49 | 14.25 mb | Back Office | Florian M. >> Notice : FwkErrorHandler 8 - A non well formed numeric value encountered in file C:\wamp\www\AstridV1\lib\Resources\Utils\DateUtils.php on line 213
04/01/2013 14:49 | 14.25 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - An exception has been thrown during the rendering of a template ("A non well formed numeric value encountered") in "views/ticket-details.html.twig" at line 35. in file C:\wamp\www\AstridV1\lib\Resources\Twig\Template.php on line 269
04/01/2013 16:36 | 10 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Undefined.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
04/01/2013 17:19 | 13.25 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Unexpected token "punctuation" of value "|" ("name" expected) in "views/ticket-details.html.twig" at line 46 in file C:\wamp\www\AstridV1\lib\Resources\Twig\TokenStream.php on line 77
04/01/2013 17:20 | 13.25 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Unexpected token "name" of value "OR" ("end of statement block" expected) in "views/ticket-details.html.twig" at line 46 in file C:\wamp\www\AstridV1\lib\Resources\Twig\TokenStream.php on line 77
04/01/2013 17:20 | 13.25 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - An opened parenthesis is not properly closed. Unexpected token "name" of value "OR" ("punctuation" expected with value ")") in "views/ticket-details.html.twig" at line 46 in file C:\wamp\www\AstridV1\lib\Resources\Twig\TokenStream.php on line 77
04/01/2013 17:25 | 11 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 23000 - SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`astrid`.`db_reponse`, CONSTRAINT `FK_7CF858D97A0ADA3` FOREIGN KEY (`ticket`) REFERENCES `db_ticket` (`id`)) in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\DBAL\Connection.php on line 754
04/01/2013 17:29 | 11 mb | Back Office | Florian Mithieux >> UNKNOWN : FwkErrorHandler 23000 - SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`astrid`.`db_reponse`, CONSTRAINT `FK_7CF858D97A0ADA3` FOREIGN KEY (`ticket`) REFERENCES `db_ticket` (`id`)) in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\DBAL\Connection.php on line 754
