05/01/2013 09:15 | 11 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 23000 - SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`astrid`.`db_reponse`, CONSTRAINT `FK_7CF858D97A0ADA3` FOREIGN KEY (`ticket`) REFERENCES `db_ticket` (`id`)) in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\DBAL\Connection.php on line 754
05/01/2013 09:21 | 10.75 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 23000 - SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`astrid`.`db_reponse`, CONSTRAINT `FK_7CF858D880E0D76` FOREIGN KEY (`admin`) REFERENCES `db_admin` (`id`)) in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\DBAL\Connection.php on line 754
05/01/2013 09:40 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridController" ne possède pas de méthode qui a pour nom articlesGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\ControllerManager.php on line 53
05/01/2013 09:42 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridController" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\ControllerManager.php on line 53
05/01/2013 09:43 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridController" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\ControllerManager.php on line 53
05/01/2013 09:43 | 8 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridAjax" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\AjaxManager.php on line 51
05/01/2013 09:43 | 8 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridAjax" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\AjaxManager.php on line 51
05/01/2013 09:43 | 8 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridAjax" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\AjaxManager.php on line 51
05/01/2013 09:43 | 8 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridAjax" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\AjaxManager.php on line 51
05/01/2013 09:51 | 8 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Exception : Le controller appelé : "AstridAjax" ne possède pas de méthode qui a pour nom clientsGestionController in file C:\wamp\www\AstridV1\lib\Resources\Core\AjaxManager.php on line 51
05/01/2013 10:19 | 13.25 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 42S02 - SQLSTATE[42S02]: Base table or view not found: 1146 Table 'astrid.db_newsletter' doesn't exist in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\DBAL\Connection.php on line 633
