============================================
Creation du log: 06/01/2013 10:14
============================================


06/01/2013 10:14 | 8.25 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Privilege.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
06/01/2013 10:14 | 8.25 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Privilege.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
06/01/2013 10:37 | 10.5 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - fopen(../../lib/Resources/Trash/Entities\Univers.json) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 53
06/01/2013 10:37 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - fopen(../../lib/Resources/Trash/Entities\Univers.json) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 53
06/01/2013 10:41 | 10.5 mb | Back Office | Florian M. >> Notice : FwkErrorHandler 8 - Undefined variable: entity in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 62
06/01/2013 10:41 | 10.5 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Undefined variable: entity in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 62
06/01/2013 10:42 | 10.75 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - preg_match() [<a href='function.preg-match'>function.preg-match</a>]: No ending delimiter '#' found in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 63
06/01/2013 10:42 | 10.75 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - preg_match() [<a href='function.preg-match'>function.preg-match</a>]: No ending delimiter '#' found in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 63
06/01/2013 10:42 | 10.75 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - preg_match() [<a href='function.preg-match'>function.preg-match</a>]: Compilation failed: missing terminating ] for character class at offset 3 in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 63
06/01/2013 10:42 | 10.75 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - preg_match() [<a href='function.preg-match'>function.preg-match</a>]: Compilation failed: missing terminating ] for character class at offset 3 in file C:\wamp\www\AstridV1\lib\Resources\Core\FwkTrash.php on line 63
06/01/2013 10:45 | 10.75 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 23000 - SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`astrid`.`db_article`, CONSTRAINT `FK_5A43552C51AD969D` FOREIGN KEY (`univers`) REFERENCES `db_univers` (`id`)) in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\DBAL\Connection.php on line 754
06/01/2013 11:14 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - could not find driver in file C:\wamp\www\AstridV1\app\secured\cron\exportBDD.php on line 82
06/01/2013 11:27 | 10.75 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib\Entities\Privilege.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
06/01/2013 11:28 | 10.75 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources/Doctrine\Doctrine\ORM\Tools\ToolsExceptionHandler.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
06/01/2013 11:36 | 10.75 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources/Doctrine\Doctrine\ORM\Tools\ToolsExceptionHandler.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
15:02:58 | 8.25 mb | 127.0.0.1 | Florian M. >> Erreur durant upload : Format ".exe" invalide.
06/01/2013 15:28 | 11 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - DateTime::setTimezone() expects parameter 1 to be DateTimeZone, string given in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 540
06/01/2013 15:28 | 11 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - DateTime::setTimezone() expects parameter 1 to be DateTimeZone, string given in file C:\wamp\www\AstridV1\gestion\controllers\ajax\DefaultAjax.php on line 540
06/01/2013 17:48 | 9.75 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 1049 - SQLSTATE[42000] [1049] Unknown database 'argetfwk' in file C:\wamp\www\ArgetFwk\lib\Resources\Doctrine\Doctrine\DBAL\Driver\PDOConnection.php on line 36
06/01/2013 17:50 | 9 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 42S02 - SQLSTATE[42S02]: Base table or view not found: 1146 Table 'argetfwk.db_admin' doesn't exist in file C:\wamp\www\ArgetFwk\lib\Resources\Doctrine\Doctrine\DBAL\Connection.php on line 628
06/01/2013 17:52 | 10.75 mb | Front Office | - >> UNKNOWN : FwkErrorHandler 0 - Unable to find template "views/menu.html.twig" (looked into: web) in "views/home.html.twig" at line 56. in file C:\wamp\www\ArgetFwk\lib\Resources\Twig\Loader\Filesystem.php on line 129
06/01/2013 17:53 | 10.75 mb | Front Office | - >> UNKNOWN : FwkErrorHandler 0 - Unable to find template "views/menu.html.twig" (looked into: web) in "views/home.html.twig" at line 38. in file C:\wamp\www\ArgetFwk\lib\Resources\Twig\Loader\Filesystem.php on line 129
